path,Engagement,Boredom,Confusion,Frustration 
/content/DAiSEE2/DAiSEE/DataSet/TrainFrames/110001/1100011002,2,0,0,0
/content/DAiSEE2/DAiSEE/DataSet/TrainFrames/110001/1100011003,2,0,0,0
/content/DAiSEE2/DAiSEE/DataSet/TrainFrames/110001/1100011004,3,0,0,0
/content/DAiSEE2/DAiSEE/DataSet/TrainFrames/110001/1100011005,3,0,0,0
/content/DAiSEE2/DAiSEE/DataSet/TrainFrames/110001/1100011006,3,0,0,0
/content/DAiSEE2/DAiSEE/DataSet/TrainFrames/110001/1100011007,2,1,0,0
/content/DAiSEE2/DAiSEE/DataSet/TrainFrames/110001/1100011008,3,0,0,0
/content/DAiSEE2/DAiSEE/DataSet/TrainFrames/110001/1100011009,2,0,1,0
/content/DAiSEE2/DAiSEE/DataSet/TrainFrames/110001/1100011010,3,0,0,0
/content/DAiSEE2/DAiSEE/DataSet/TrainFrames/110001/1100011011,3,0,0,0
/content/DAiSEE2/DAiSEE/DataSet/TrainFrames/110001/1100011012,2,0,2,0
/content/DAiSEE2/DAiSEE/DataSet/TrainFrames/110001/1100011013,3,0,0,0
/content/DAiSEE2/DAiSEE/DataSet/TrainFrames/110001/1100011014,3,0,0,0
/content/DAiSEE2/DAiSEE/DataSet/TrainFrames/110001/1100011015,3,0,0,0
/content/DAiSEE2/DAiSEE/DataSet/TrainFrames/110001/1100011016,3,0,0,0
/content/DAiSEE2/DAiSEE/DataSet/TrainFrames/110001/1100011017,3,0,0,0
/content/DAiSEE2/DAiSEE/DataSet/TrainFrames/110001/1100011018,3,0,0,0
/content/DAiSEE2/DAiSEE/DataSet/TrainFrames/110001/1100011019,3,0,0,0
/content/DAiSEE2/DAiSEE/DataSet/TrainFrames/110001/1100011020,3,0,0,0
/content/DAiSEE2/DAiSEE/DataSet/TrainFrames/110001/1100011021,3,0,0,0
/content/DAiSEE2/DAiSEE/DataSet/TrainFrames/110001/1100011022,3,0,0,0
